17:16:35.758881 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [S.], seq 1781188362, ack 3938161820, win 65535, options [mss 1460,sackOK,TS val 3280156 ecr 3060063,nop,wscale 6,mptcp capable csum {0x5d07cc395fa8dd93}], length 0
17:16:35.779537 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [S.], seq 1781188362, ack 3938161820, win 65535, options [mss 1460,sackOK,TS val 3280156 ecr 3060063,nop,wscale 6,mptcp capable csum {0x5d07cc395fa8dd93}], length 0
17:16:35.782843 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [S.], seq 1781188362, ack 3938161820, win 65535, options [mss 1460,sackOK,TS val 3280156 ecr 3060063,nop,wscale 6,mptcp capable csum {0x5d07cc395fa8dd93}], length 0
17:16:35.788261 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 4086075562], length 0
17:16:55.620594 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 138517:139945, ack 1, win 4017, options [nop,nop,TS val 3299878 ecr 3079191,mptcp dss ack 4086075562 seq 1489516964 subseq 138517 len 1428 csum 0x120b], length 1428
17:16:55.681203 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 141373:142801, ack 1, win 4017, options [nop,nop,TS val 3299878 ecr 3079191,mptcp dss ack 4086075562 seq 1489519820 subseq 141373 len 1428 csum 0xac46], length 1428
17:16:55.681612 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 141373:142801, ack 1, win 4017, options [nop,nop,TS val 3299878 ecr 3079191,mptcp dss ack 4086075562 seq 1489519820 subseq 141373 len 1428 csum 0xac46], length 1428
17:16:55.715773 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 139945:141373, ack 1, win 4017, options [nop,nop,TS val 3299878 ecr 3079191,mptcp dss ack 4086075562 seq 1489518392 subseq 139945 len 1428 csum 0xd18f], length 1428
17:16:55.716560 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 142801:144229, ack 1, win 4017, options [nop,nop,TS val 3299916 ecr 3079285,mptcp dss ack 4086075562 seq 1489521248 subseq 142801 len 1428 csum 0xddc3], length 1428
17:16:55.716781 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 142801:144229, ack 1, win 4017, options [nop,nop,TS val 3299916 ecr 3079285,mptcp dss ack 4086075562 seq 1489521248 subseq 142801 len 1428 csum 0xddc3], length 1428
17:16:55.788507 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 144229:145657, ack 1, win 4017, options [nop,nop,TS val 3300005 ecr 3079371,mptcp dss ack 4086075562 seq 1489522676 subseq 144229 len 1428 csum 0xa4bd], length 1428
17:16:55.788714 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 144229:145657, ack 1, win 4017, options [nop,nop,TS val 3300005 ecr 3079371,mptcp dss ack 4086075562 seq 1489522676 subseq 144229 len 1428 csum 0xa4bd], length 1428
17:16:55.795902 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 141373:142801, ack 1, win 4017, options [nop,nop,TS val 3299878 ecr 3079191,mptcp dss ack 4086075562 seq 1489519820 subseq 141373 len 1428 csum 0xac46], length 1428
17:16:55.811594 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 145657:147085, ack 1, win 4017, options [nop,nop,TS val 3300005 ecr 3079371,mptcp dss ack 4086075562 seq 1489524104 subseq 145657 len 1428 csum 0xa4c4], length 1428
17:16:55.811814 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 145657:147085, ack 1, win 4017, options [nop,nop,TS val 3300005 ecr 3079371,mptcp dss ack 4086075562 seq 1489524104 subseq 145657 len 1428 csum 0xa4c4], length 1428
17:16:55.833576 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 142801:144229, ack 1, win 4017, options [nop,nop,TS val 3299916 ecr 3079285,mptcp dss ack 4086075562 seq 1489521248 subseq 142801 len 1428 csum 0xddc3], length 1428
17:16:55.893757 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 166889:168317, ack 1, win 4017, options [nop,nop,TS val 3300095 ecr 3079389,mptcp dss ack 4086075562 seq 1489486976 subseq 166889 len 1428 csum 0x5331], length 1428
17:16:55.912217 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 144229:145657, ack 1, win 4017, options [nop,nop,TS val 3300005 ecr 3079371,mptcp dss ack 4086075562 seq 1489522676 subseq 144229 len 1428 csum 0xa4bd], length 1428
17:16:55.923038 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 171173:172601, ack 1, win 4017, options [nop,nop,TS val 3300197 ecr 3079410,mptcp dss ack 4086075562 seq 1489525532 subseq 171173 len 1428 csum 0x5230], length 1428
17:16:56.003442 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 147085:148513, ack 1, win 4017, options [nop,nop,TS val 3300227 ecr 3079419,mptcp dss ack 4086075562 seq 1489526960 subseq 147085 len 1428 csum 0xee30], length 1428
17:16:56.003759 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 147085:148513, ack 1, win 4017, options [nop,nop,TS val 3300227 ecr 3079419,mptcp dss ack 4086075562 seq 1489526960 subseq 147085 len 1428 csum 0xee30], length 1428
17:16:56.014533 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 145657:147085, ack 1, win 4017, options [nop,nop,TS val 3300005 ecr 3079371,mptcp dss ack 4086075562 seq 1489524104 subseq 145657 len 1428 csum 0xa4c4], length 1428
17:16:56.025023 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 148513:149941, ack 1, win 4017, options [nop,nop,TS val 3300287 ecr 3079575,mptcp dss ack 4086075562 seq 1489528388 subseq 148513 len 1428 csum 0xea3e], length 1428
17:16:56.025255 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 148513:149941, ack 1, win 4017, options [nop,nop,TS val 3300287 ecr 3079575,mptcp dss ack 4086075562 seq 1489528388 subseq 148513 len 1428 csum 0xea3e], length 1428
17:16:56.088297 IP 112.26.0.8.33715 > 112.26.3.1.36177: Flags [.], ack 34273, win 15011, options [nop,nop,TS val 3079982 ecr 3298917,mptcp dss ack 1489389872], length 0
17:16:56.101175 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 147085:148513, ack 1, win 4017, options [nop,nop,TS val 3300227 ecr 3079419,mptcp dss ack 4086075562 seq 1489526960 subseq 147085 len 1428 csum 0xee30], length 1428
17:16:56.112106 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 172601:174029, ack 1, win 4017, options [nop,nop,TS val 3300287 ecr 3079674,mptcp dss ack 4086075562 seq 1489529816 subseq 172601 len 1428 csum 0xd226], length 1428
17:16:56.197470 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 148513:149941, ack 1, win 4017, options [nop,nop,TS val 3300287 ecr 3079575,mptcp dss ack 4086075562 seq 1489528388 subseq 148513 len 1428 csum 0xea3e], length 1428
17:16:56.283890 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 125665:127093, ack 1, win 4017, options [nop,nop,TS val 3300383 ecr 3079675,mptcp dss ack 4086075562 seq 1489504112 subseq 125665 len 1428 csum 0x5fa1], length 1428
17:16:56.284179 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 125665:127093, ack 1, win 4017, options [nop,nop,TS val 3300383 ecr 3079675,mptcp dss ack 4086075562 seq 1489504112 subseq 125665 len 1428 csum 0x5fa1], length 1428
17:16:56.294626 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 125665:127093, ack 1, win 4017, options [nop,nop,TS val 3300383 ecr 3079675,mptcp dss ack 4086075562 seq 1489504112 subseq 125665 len 1428 csum 0x5fa1], length 1428
17:16:56.305496 IP 112.26.0.8.33715 > 112.26.3.1.36177: Flags [.], ack 35701, win 15239, options [nop,nop,TS val 3080216 ecr 3299108,mptcp dss ack 1489389872], length 0
17:16:56.317785 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 149941:151369, ack 1, win 4017, options [nop,nop,TS val 3300491 ecr 3079698,mptcp dss ack 4086075562 seq 1489531244 subseq 149941 len 1428 csum 0xfd9b], length 1428
17:16:56.318018 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 149941:151369, ack 1, win 4017, options [nop,nop,TS val 3300491 ecr 3079698,mptcp dss ack 4086075562 seq 1489531244 subseq 149941 len 1428 csum 0xfd9b], length 1428
17:16:56.330808 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 149941:151369, ack 1, win 4017, options [nop,nop,TS val 3300491 ecr 3079698,mptcp dss ack 4086075562 seq 1489531244 subseq 149941 len 1428 csum 0xfd9b], length 1428
17:16:56.392860 IP 112.26.3.1.36177 > 112.26.0.8.33715: Flags [.], seq 35701:37129, ack 1, win 4017, options [nop,nop,TS val 3300491 ecr 3079982,mptcp dss ack 4086075562 seq 1489532672 subseq 35701 len 1428 csum 0x6029], length 1428
17:16:56.412657 IP 112.26.3.1.36177 > 112.26.0.8.33715: Flags [.], seq 37129:38557, ack 1, win 4017, options [nop,nop,TS val 3300491 ecr 3079982,mptcp dss ack 4086075562 seq 1489534100 subseq 37129 len 1428 csum 0xd0ba], length 1428
17:16:56.492862 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 151369:152797, ack 1, win 4017, options [nop,nop,TS val 3300625 ecr 3079885,mptcp dss ack 4086075562 seq 1489535528 subseq 151369 len 1428 csum 0x3a4], length 1428
17:16:56.493078 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 151369:152797, ack 1, win 4017, options [nop,nop,TS val 3300625 ecr 3079885,mptcp dss ack 4086075562 seq 1489535528 subseq 151369 len 1428 csum 0x3a4], length 1428
17:16:56.509373 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 151369:152797, ack 1, win 4017, options [nop,nop,TS val 3300625 ecr 3079885,mptcp dss ack 4086075562 seq 1489535528 subseq 151369 len 1428 csum 0x3a4], length 1428
17:16:56.522161 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 152797:154225, ack 1, win 4017, options [nop,nop,TS val 3300705 ecr 3079906,mptcp dss ack 4086075562 seq 1489536956 subseq 152797 len 1428 csum 0x972c], length 1428
17:16:56.522345 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 152797:154225, ack 1, win 4017, options [nop,nop,TS val 3300705 ecr 3079906,mptcp dss ack 4086075562 seq 1489536956 subseq 152797 len 1428 csum 0x972c], length 1428
17:16:56.591315 IP 112.26.3.1.36177 > 112.26.0.8.33715: Flags [.], seq 38557:39985, ack 1, win 4017, options [nop,nop,TS val 3300705 ecr 3080216,mptcp dss ack 4086075562 seq 1489538384 subseq 38557 len 1428 csum 0x13a2], length 1428
17:16:56.607402 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 152797:154225, ack 1, win 4017, options [nop,nop,TS val 3300705 ecr 3079906,mptcp dss ack 4086075562 seq 1489536956 subseq 152797 len 1428 csum 0x972c], length 1428
17:16:56.621258 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 154225:155653, ack 1, win 4017, options [nop,nop,TS val 3300911 ecr 3080019,mptcp dss ack 4086075562 seq 1489539812 subseq 154225 len 1428 csum 0x9945], length 1428
17:16:56.621497 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 154225:155653, ack 1, win 4017, options [nop,nop,TS val 3300911 ecr 3080019,mptcp dss ack 4086075562 seq 1489539812 subseq 154225 len 1428 csum 0x9945], length 1428
17:16:56.700340 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 155653:157081, ack 1, win 4017, options [nop,nop,TS val 3300997 ecr 3080110,mptcp dss ack 4086075562 seq 1489541240 subseq 155653 len 1428 csum 0x9be6], length 1428
17:16:56.700572 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 155653:157081, ack 1, win 4017, options [nop,nop,TS val 3300997 ecr 3080110,mptcp dss ack 4086075562 seq 1489541240 subseq 155653 len 1428 csum 0x9be6], length 1428
17:16:56.717329 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 154225:155653, ack 1, win 4017, options [nop,nop,TS val 3300911 ecr 3080019,mptcp dss ack 4086075562 seq 1489539812 subseq 154225 len 1428 csum 0x9945], length 1428
17:16:56.725873 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 155653:157081, ack 1, win 4017, options [nop,nop,TS val 3300997 ecr 3080110,mptcp dss ack 4086075562 seq 1489541240 subseq 155653 len 1428 csum 0x9be6], length 1428
17:16:56.885698 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 157081:158509, ack 1, win 4017, options [nop,nop,TS val 3301284 ecr 3080311,mptcp dss ack 4086075562 seq 1489542668 subseq 157081 len 1428 csum 0xed67], length 1428
17:16:56.885981 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 157081:158509, ack 1, win 4017, options [nop,nop,TS val 3301284 ecr 3080311,mptcp dss ack 4086075562 seq 1489542668 subseq 157081 len 1428 csum 0xed67], length 1428
17:16:56.896775 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 157081:158509, ack 1, win 4017, options [nop,nop,TS val 3301284 ecr 3080311,mptcp dss ack 4086075562 seq 1489542668 subseq 157081 len 1428 csum 0xed67], length 1428
17:16:56.917583 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 158509:159937, ack 1, win 4017, options [nop,nop,TS val 3301316 ecr 3080399,mptcp dss ack 4086075562 seq 1489544096 subseq 158509 len 1428 csum 0x12b4], length 1428
17:16:56.917808 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 158509:159937, ack 1, win 4017, options [nop,nop,TS val 3301316 ecr 3080399,mptcp dss ack 4086075562 seq 1489544096 subseq 158509 len 1428 csum 0x12b4], length 1428
17:16:56.988263 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 158509:159937, ack 1, win 4017, options [nop,nop,TS val 3301316 ecr 3080399,mptcp dss ack 4086075562 seq 1489544096 subseq 158509 len 1428 csum 0x12b4], length 1428
17:16:57.000260 IP 112.26.1.1.36177 > 112.26.0.8.36999: Flags [.], seq 2857:4285, ack 1, win 4017, options [nop,nop,TS val 3301376 ecr 3072281,mptcp dss ack 4086075562 seq 1489391300 subseq 2857 len 1428 csum 0x157f], length 1428
17:16:57.022433 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 159937:161365, ack 1, win 4017, options [nop,nop,TS val 3301421 ecr 3080500,mptcp dss ack 4086075562 seq 1489545524 subseq 159937 len 1428 csum 0xb0f3], length 1428
17:16:57.022664 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 159937:161365, ack 1, win 4017, options [nop,nop,TS val 3301421 ecr 3080500,mptcp dss ack 4086075562 seq 1489545524 subseq 159937 len 1428 csum 0xb0f3], length 1428
17:16:57.034843 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 159937:161365, ack 1, win 4017, options [nop,nop,TS val 3301421 ecr 3080500,mptcp dss ack 4086075562 seq 1489545524 subseq 159937 len 1428 csum 0xb0f3], length 1428
17:16:57.095236 IP 112.26.1.1.36177 > 112.26.0.8.36999: Flags [.], seq 2857:4285, ack 1, win 4017, options [nop,nop,TS val 3301376 ecr 3072281,mptcp dss ack 4086075562 seq 1489391300 subseq 2857 len 1428 csum 0x157f], length 1428
17:16:57.103998 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 161365:162793, ack 1, win 4017, options [nop,nop,TS val 3301484 ecr 3080593,mptcp dss ack 4086075562 seq 1489546952 subseq 161365 len 1428 csum 0x277e], length 1428
17:16:57.104218 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 161365:162793, ack 1, win 4017, options [nop,nop,TS val 3301484 ecr 3080593,mptcp dss ack 4086075562 seq 1489546952 subseq 161365 len 1428 csum 0x277e], length 1428
17:16:57.115846 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 161365:162793, ack 1, win 4017, options [nop,nop,TS val 3301484 ecr 3080593,mptcp dss ack 4086075562 seq 1489546952 subseq 161365 len 1428 csum 0x277e], length 1428
17:16:57.125865 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 162793:164221, ack 1, win 4017, options [nop,nop,TS val 3301484 ecr 3080687,mptcp dss ack 4086075562 seq 1489548380 subseq 162793 len 1428 csum 0x9586], length 1428
17:16:57.126095 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 162793:164221, ack 1, win 4017, options [nop,nop,TS val 3301484 ecr 3080687,mptcp dss ack 4086075562 seq 1489548380 subseq 162793 len 1428 csum 0x9586], length 1428
17:16:57.209618 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 162793:164221, ack 1, win 4017, options [nop,nop,TS val 3301484 ecr 3080687,mptcp dss ack 4086075562 seq 1489548380 subseq 162793 len 1428 csum 0x9586], length 1428
17:16:57.220315 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 164221:165649, ack 1, win 4017, options [nop,nop,TS val 3301588 ecr 3080729,mptcp dss ack 4086075562 seq 1489549808 subseq 164221 len 1428 csum 0x3570], length 1428
17:16:57.220561 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 164221:165649, ack 1, win 4017, options [nop,nop,TS val 3301588 ecr 3080729,mptcp dss ack 4086075562 seq 1489549808 subseq 164221 len 1428 csum 0x3570], length 1428
17:16:57.229993 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 165649:167077, ack 1, win 4017, options [nop,nop,TS val 3301588 ecr 3080729,mptcp dss ack 4086075562 seq 1489551236 subseq 165649 len 1428 csum 0xc5d], length 1428
17:16:57.230206 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 165649:167077, ack 1, win 4017, options [nop,nop,TS val 3301588 ecr 3080729,mptcp dss ack 4086075562 seq 1489551236 subseq 165649 len 1428 csum 0xc5d], length 1428
17:16:57.305304 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 174029:175457, ack 1, win 4017, options [nop,nop,TS val 3301614 ecr 3080892,mptcp dss ack 4086075562 seq 1489552664 subseq 174029 len 1428 csum 0x9934], length 1428
17:16:57.313383 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 164221:165649, ack 1, win 4017, options [nop,nop,TS val 3301588 ecr 3080729,mptcp dss ack 4086075562 seq 1489549808 subseq 164221 len 1428 csum 0x3570], length 1428
17:16:57.327579 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 175457:176885, ack 1, win 4017, options [nop,nop,TS val 3301614 ecr 3080892,mptcp dss ack 4086075562 seq 1489554092 subseq 175457 len 1428 csum 0x6ef5], length 1428
17:16:57.390564 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 165649:167077, ack 1, win 4017, options [nop,nop,TS val 3301588 ecr 3080729,mptcp dss ack 4086075562 seq 1489551236 subseq 165649 len 1428 csum 0xc5d], length 1428
17:16:57.398580 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 167077:168505, ack 1, win 4017, options [nop,nop,TS val 3301700 ecr 3080898,mptcp dss ack 4086075562 seq 1489555520 subseq 167077 len 1428 csum 0xc9be], length 1428
17:16:57.398788 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 167077:168505, ack 1, win 4017, options [nop,nop,TS val 3301700 ecr 3080898,mptcp dss ack 4086075562 seq 1489555520 subseq 167077 len 1428 csum 0xc9be], length 1428
17:16:57.435635 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 167077:168505, ack 1, win 4017, options [nop,nop,TS val 3301700 ecr 3080898,mptcp dss ack 4086075562 seq 1489555520 subseq 167077 len 1428 csum 0xc9be], length 1428
17:16:57.437606 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 176885:178313, ack 1, win 4017, options [nop,nop,TS val 3301733 ecr 3080986,mptcp dss ack 4086075562 seq 1489556948 subseq 176885 len 1428 csum 0xdf83], length 1428
17:16:57.505683 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 168505:169933, ack 1, win 4017, options [nop,nop,TS val 3301819 ecr 3081006,mptcp dss ack 4086075562 seq 1489558376 subseq 168505 len 1428 csum 0x124d], length 1428
17:16:57.505889 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 168505:169933, ack 1, win 4017, options [nop,nop,TS val 3301819 ecr 3081006,mptcp dss ack 4086075562 seq 1489558376 subseq 168505 len 1428 csum 0x124d], length 1428
17:16:57.509984 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 168505:169933, ack 1, win 4017, options [nop,nop,TS val 3301819 ecr 3081006,mptcp dss ack 4086075562 seq 1489558376 subseq 168505 len 1428 csum 0x124d], length 1428
17:16:57.593412 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 169933:171361, ack 1, win 4017, options [nop,nop,TS val 3301897 ecr 3081095,mptcp dss ack 4086075562 seq 1489559804 subseq 169933 len 1428 csum 0xbbd1], length 1428
17:16:57.593715 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 169933:171361, ack 1, win 4017, options [nop,nop,TS val 3301897 ecr 3081095,mptcp dss ack 4086075562 seq 1489559804 subseq 169933 len 1428 csum 0xbbd1], length 1428
17:16:57.609419 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 169933:171361, ack 1, win 4017, options [nop,nop,TS val 3301897 ecr 3081095,mptcp dss ack 4086075562 seq 1489559804 subseq 169933 len 1428 csum 0xbbd1], length 1428
17:16:57.627615 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 171361:172789, ack 1, win 4017, options [nop,nop,TS val 3301897 ecr 3081095,mptcp dss ack 4086075562 seq 1489561232 subseq 171361 len 1428 csum 0x34cf], length 1428
17:16:57.627845 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 171361:172789, ack 1, win 4017, options [nop,nop,TS val 3301897 ecr 3081095,mptcp dss ack 4086075562 seq 1489561232 subseq 171361 len 1428 csum 0x34cf], length 1428
17:16:57.634746 IP 112.26.0.8.33715 > 112.26.3.1.36177: Flags [.], ack 37129, win 16106, options [nop,nop,TS val 3081517 ecr 3300491,mptcp dss ack 1489389872], length 0
17:16:57.701110 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 171361:172789, ack 1, win 4017, options [nop,nop,TS val 3301897 ecr 3081095,mptcp dss ack 4086075562 seq 1489561232 subseq 171361 len 1428 csum 0x34cf], length 1428
17:16:57.705991 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 172789:174217, ack 1, win 4017, options [nop,nop,TS val 3301914 ecr 3081124,mptcp dss ack 4086075562 seq 1489562660 subseq 172789 len 1428 csum 0x239a], length 1428
17:16:57.706212 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 172789:174217, ack 1, win 4017, options [nop,nop,TS val 3301914 ecr 3081124,mptcp dss ack 4086075562 seq 1489562660 subseq 172789 len 1428 csum 0x239a], length 1428
17:16:57.716735 IP 112.26.0.8.33715 > 112.26.3.1.36177: Flags [.], ack 38557, win 16197, options [nop,nop,TS val 3081686 ecr 3300491,mptcp dss ack 1489389872], length 0
17:16:57.728063 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 172789:174217, ack 1, win 4017, options [nop,nop,TS val 3301914 ecr 3081124,mptcp dss ack 4086075562 seq 1489562660 subseq 172789 len 1428 csum 0x239a], length 1428
17:16:57.731394 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 178313:179741, ack 1, win 4017, options [nop,nop,TS val 3302021 ecr 3081194,mptcp dss ack 4086075562 seq 1489564088 subseq 178313 len 1428 csum 0xd8b4], length 1428
17:16:57.804024 IP 112.26.3.1.36177 > 112.26.0.8.33715: Flags [.], seq 39985:41413, ack 1, win 4017, options [nop,nop,TS val 3302035 ecr 3081517,mptcp dss ack 4086075562 seq 1489565516 subseq 39985 len 1428 csum 0x758e], length 1428
17:16:57.817587 IP 112.26.3.1.36177 > 112.26.0.8.33715: Flags [.], seq 41413:42841, ack 1, win 4017, options [nop,nop,TS val 3302035 ecr 3081517,mptcp dss ack 4086075562 seq 1489566944 subseq 41413 len 1428 csum 0xbc9], length 1428
17:16:57.906634 IP 112.26.3.1.36177 > 112.26.0.8.33715: Flags [.], seq 42841:44269, ack 1, win 4017, options [nop,nop,TS val 3302117 ecr 3081686,mptcp dss ack 4086075562 seq 1489568372 subseq 42841 len 1428 csum 0x10c5], length 1428
17:16:57.918503 IP 112.26.0.8.33715 > 112.26.3.1.36177: Flags [.], ack 39985, win 16380, options [nop,nop,TS val 3081837 ecr 3300705,mptcp dss ack 1489389872], length 0
17:16:57.926472 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 174217:175645, ack 1, win 4017, options [nop,nop,TS val 3302140 ecr 3081291,mptcp dss ack 4086075562 seq 1489569800 subseq 174217 len 1428 csum 0xc808], length 1428
17:16:57.926731 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 174217:175645, ack 1, win 4017, options [nop,nop,TS val 3302140 ecr 3081291,mptcp dss ack 4086075562 seq 1489569800 subseq 174217 len 1428 csum 0xc808], length 1428
17:16:57.935116 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 174217:175645, ack 1, win 4017, options [nop,nop,TS val 3302140 ecr 3081291,mptcp dss ack 4086075562 seq 1489569800 subseq 174217 len 1428 csum 0xc808], length 1428
17:16:58.006763 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 175645:177073, ack 1, win 4017, options [nop,nop,TS val 3302211 ecr 3081331,mptcp dss ack 4086075562 seq 1489571228 subseq 175645 len 1428 csum 0x1446], length 1428
17:16:58.006978 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 175645:177073, ack 1, win 4017, options [nop,nop,TS val 3302211 ecr 3081331,mptcp dss ack 4086075562 seq 1489571228 subseq 175645 len 1428 csum 0x1446], length 1428
17:16:58.027753 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 175645:177073, ack 1, win 4017, options [nop,nop,TS val 3302211 ecr 3081331,mptcp dss ack 4086075562 seq 1489571228 subseq 175645 len 1428 csum 0x1446], length 1428
17:16:58.037406 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 177073:178501, ack 1, win 4017, options [nop,nop,TS val 3302211 ecr 3081331,mptcp dss ack 4086075562 seq 1489572656 subseq 177073 len 1428 csum 0xf53c], length 1428
17:16:58.037598 IP 112.26.2.1.36177 > 112.26.0.8.40673: Flags [.], seq 177073:178501, ack 1, win 4017, options [nop,nop,TS val 3302211 ecr 3081331,mptcp dss ack 4086075562 seq 1489572656 subseq 177073 len 1428 csum 0xf53c], length 1428
17:16:58.106448 IP 112.26.3.1.36177 > 112.26.0.8.33715: Flags [.], seq 44269:45697, ack 1, win 4017, options [nop,nop,TS val 3302318 ecr 3081837,mptcp dss ack 4086075562 seq 1489574084 subseq 44269 len 1428 csum 0xa38c], length 1428
