20:39:27.394094 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [S], seq 2263806240, win 65535, options [mss 1460,sackOK,TS val 783148 ecr 0,nop,wscale 6,mptcp join id 3 token 0xbaf08251 nonce 0x994c8d18], length 0
20:39:27.447362 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [S], seq 2263806240, win 65535, options [mss 1460,sackOK,TS val 783148 ecr 0,nop,wscale 6,mptcp join id 3 token 0xbaf08251 nonce 0x994c8d18], length 0
20:39:27.725070 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2869940821, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:27.782699 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:27.880074 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:28.098322 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.098743 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.160645 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.246514 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.246886 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.295929 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.393101 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.393429 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.407236 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.628838 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.629195 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.704360 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.755620 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.755926 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.824533 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.915682 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 8569, win 8395, options [nop,nop,TS val 784690 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:28.916004 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 8569, win 8395, options [nop,nop,TS val 784690 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.042105 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 9997, win 8578, options [nop,nop,TS val 784817 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.042490 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 9997, win 8578, options [nop,nop,TS val 784817 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.234980 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 11425, win 8760, options [nop,nop,TS val 785010 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.235268 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 11425, win 8760, options [nop,nop,TS val 785010 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.369628 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 8897, options [nop,nop,TS val 785145 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.369941 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 8897, options [nop,nop,TS val 785145 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.495350 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9080, options [nop,nop,TS val 785271 ecr 1004417,nop,nop,sack 1 {14281:15709},mptcp dss ack 1969139734], length 0
20:39:49.614262 IP 112.26.1.8.43007 > 112.26.1.1.44601: Flags [R], seq 2675678487, win 0, length 0
20:39:49.732174 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 225625, win 24139, options [nop,nop,TS val 804615 ecr 1023761,nop,nop,sack 1 {227053:231337},mptcp dss ack 1969883722], length 0
20:39:49.768897 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 225625, win 24139, options [nop,nop,TS val 805544 ecr 1023761,nop,nop,sack 1 {227053:241333},mptcp dss ack 1969883722], length 0
20:39:49.769221 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 225625, win 24139, options [nop,nop,TS val 805544 ecr 1023761,nop,nop,sack 1 {227053:241333},mptcp dss ack 1969883722], length 0
20:39:49.877634 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 241333, win 24139, options [nop,nop,TS val 805652 ecr 1025935,mptcp dss ack 1969883722], length 0
20:39:49.877947 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 241333, win 24139, options [nop,nop,TS val 805652 ecr 1025935,mptcp dss ack 1969883722], length 0
20:39:49.899812 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 225625, win 24139, options [nop,nop,TS val 804710 ecr 1023761,nop,nop,sack 1 {227053:232765},mptcp dss ack 1969883722], length 0
20:39:49.976647 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 225625, win 24139, options [nop,nop,TS val 804808 ecr 1023761,nop,nop,sack 1 {227053:234193},mptcp dss ack 1969883722], length 0
20:39:50.014678 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 242761, win 24139, options [nop,nop,TS val 805790 ecr 1026084,mptcp dss ack 1969883722], length 0
20:39:50.015038 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 242761, win 24139, options [nop,nop,TS val 805790 ecr 1026084,mptcp dss ack 1969883722], length 0
20:39:50.046100 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 225625, win 24139, options [nop,nop,TS val 804920 ecr 1023761,nop,nop,sack 1 {227053:235621},mptcp dss ack 1969883722], length 0
20:39:50.144229 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 244189, win 24139, options [nop,nop,TS val 805916 ecr 1026298,mptcp dss ack 1969883722], length 0
20:39:50.144549 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 244189, win 24139, options [nop,nop,TS val 805916 ecr 1026298,mptcp dss ack 1969883722], length 0
20:39:50.191995 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 225625, win 24139, options [nop,nop,TS val 804997 ecr 1023761,nop,nop,sack 1 {227053:237049},mptcp dss ack 1969883722], length 0
20:39:50.262749 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 245617, win 24139, options [nop,nop,TS val 806038 ecr 1026483,mptcp dss ack 1969883722], length 0
20:39:50.263090 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 245617, win 24139, options [nop,nop,TS val 806038 ecr 1026483,mptcp dss ack 1969883722], length 0
20:39:50.367988 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 247045, win 24139, options [nop,nop,TS val 806142 ecr 1026571,mptcp dss ack 1969883722], length 0
20:39:50.368325 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 247045, win 24139, options [nop,nop,TS val 806142 ecr 1026571,mptcp dss ack 1969883722], length 0
20:39:50.391269 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 225625, win 24139, options [nop,nop,TS val 805252 ecr 1023761,nop,nop,sack 1 {227053:239905},mptcp dss ack 1969883722], length 0
20:39:50.461984 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 248473, win 24139, options [nop,nop,TS val 806238 ecr 1026613,mptcp dss ack 1969883722], length 0
20:39:50.462330 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 248473, win 24139, options [nop,nop,TS val 806238 ecr 1026613,mptcp dss ack 1969883722], length 0
20:39:50.538850 IP 112.26.1.8.43007 > 112.26.1.1.44601: Flags [R], seq 2675678487, win 0, length 0
20:39:50.596778 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 249901, win 24139, options [nop,nop,TS val 806372 ecr 1026733,mptcp dss ack 1969883722], length 0
20:39:50.597107 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 249901, win 24139, options [nop,nop,TS val 806372 ecr 1026733,mptcp dss ack 1969883722], length 0
20:39:50.658199 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 225625, win 24139, options [nop,nop,TS val 805544 ecr 1023761,nop,nop,sack 1 {227053:241333},mptcp dss ack 1969883722], length 0
20:39:50.718886 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 241333, win 24139, options [nop,nop,TS val 805652 ecr 1025935,mptcp dss ack 1969883722], length 0
20:39:50.760445 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 251329, win 24139, options [nop,nop,TS val 806537 ecr 1026982,mptcp dss ack 1969883722], length 0
20:39:50.760663 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 251329, win 24139, options [nop,nop,TS val 806537 ecr 1026982,mptcp dss ack 1969883722], length 0
20:39:50.855853 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 242761, win 24139, options [nop,nop,TS val 805790 ecr 1026084,mptcp dss ack 1969883722], length 0
20:39:50.894972 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 252757, win 24139, options [nop,nop,TS val 806670 ecr 1026982,mptcp dss ack 1969883722], length 0
20:39:50.895263 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 252757, win 24139, options [nop,nop,TS val 806670 ecr 1026982,mptcp dss ack 1969883722], length 0
20:39:50.986299 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 244189, win 24139, options [nop,nop,TS val 805916 ecr 1026298,mptcp dss ack 1969883722], length 0
20:39:51.020363 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 254185, win 24139, options [nop,nop,TS val 806796 ecr 1027201,mptcp dss ack 1969883722], length 0
20:39:51.020647 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 254185, win 24139, options [nop,nop,TS val 806796 ecr 1027201,mptcp dss ack 1969883722], length 0
20:39:51.135447 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 255613, win 24205, options [nop,nop,TS val 806908 ecr 1027254,mptcp dss ack 1970020810], length 0
20:39:51.135728 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 255613, win 24205, options [nop,nop,TS val 806908 ecr 1027254,mptcp dss ack 1970020810], length 0
20:39:51.175177 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 245617, win 24139, options [nop,nop,TS val 806038 ecr 1026483,mptcp dss ack 1969883722], length 0
20:39:51.291644 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 257041, win 24205, options [nop,nop,TS val 807067 ecr 1027254,mptcp dss ack 1970020810], length 0
20:39:51.291965 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 257041, win 24205, options [nop,nop,TS val 807067 ecr 1027254,mptcp dss ack 1970020810], length 0
20:39:51.348555 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 248473, win 24139, options [nop,nop,TS val 806238 ecr 1026613,mptcp dss ack 1969883722], length 0
20:39:51.440726 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 258469, win 24205, options [nop,nop,TS val 807216 ecr 1027391,mptcp dss ack 1970020810], length 0
20:39:51.441040 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 258469, win 24205, options [nop,nop,TS val 807216 ecr 1027391,mptcp dss ack 1970020810], length 0
20:39:51.461575 IP 112.26.1.8.43007 > 112.26.1.1.44601: Flags [R], seq 2675678487, win 0, length 0
20:39:51.584616 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 259897, win 24205, options [nop,nop,TS val 807353 ecr 1027521,mptcp dss ack 1970020810], length 0
20:39:51.584933 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 259897, win 24205, options [nop,nop,TS val 807353 ecr 1027521,mptcp dss ack 1970020810], length 0
20:39:51.624703 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 251329, win 24139, options [nop,nop,TS val 806537 ecr 1026982,mptcp dss ack 1969883722], length 0
20:39:51.703023 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 252757, win 24139, options [nop,nop,TS val 806670 ecr 1026982,mptcp dss ack 1969883722], length 0
20:39:51.751575 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 261325, win 24205, options [nop,nop,TS val 807527 ecr 1027710,mptcp dss ack 1970020810], length 0
20:39:51.751845 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 261325, win 24205, options [nop,nop,TS val 807527 ecr 1027710,mptcp dss ack 1970020810], length 0
20:39:51.806769 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 254185, win 24139, options [nop,nop,TS val 806796 ecr 1027201,mptcp dss ack 1969883722], length 0
20:39:51.878692 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 262753, win 24205, options [nop,nop,TS val 807654 ecr 1027710,mptcp dss ack 1970020810], length 0
20:39:51.878999 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 262753, win 24205, options [nop,nop,TS val 807654 ecr 1027710,mptcp dss ack 1970020810], length 0
20:39:51.985969 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 255613, win 24205, options [nop,nop,TS val 806908 ecr 1027254,mptcp dss ack 1970020810], length 0
20:39:52.029737 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 264181, win 24205, options [nop,nop,TS val 807806 ecr 1027883,mptcp dss ack 1970020810], length 0
20:39:52.030053 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 264181, win 24205, options [nop,nop,TS val 807806 ecr 1027883,mptcp dss ack 1970020810], length 0
20:39:52.127783 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 257041, win 24205, options [nop,nop,TS val 807067 ecr 1027254,mptcp dss ack 1970020810], length 0
20:39:52.175418 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 265609, win 24205, options [nop,nop,TS val 807952 ecr 1027883,mptcp dss ack 1970020810], length 0
20:39:52.175689 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 265609, win 24205, options [nop,nop,TS val 807952 ecr 1027883,mptcp dss ack 1970020810], length 0
20:39:52.271256 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 258469, win 24205, options [nop,nop,TS val 807216 ecr 1027391,mptcp dss ack 1970020810], length 0
20:39:52.388476 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 259897, win 24205, options [nop,nop,TS val 807353 ecr 1027521,mptcp dss ack 1970020810], length 0
20:39:52.454740 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 261325, win 24205, options [nop,nop,TS val 807527 ecr 1027710,mptcp dss ack 1970020810], length 0
20:39:52.472538 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 268465, win 24205, options [nop,nop,TS val 808248 ecr 1028115,mptcp dss ack 1970020810], length 0
20:39:52.472855 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 268465, win 24205, options [nop,nop,TS val 808248 ecr 1028115,mptcp dss ack 1970020810], length 0
20:39:52.535005 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 262753, win 24205, options [nop,nop,TS val 807654 ecr 1027710,mptcp dss ack 1970020810], length 0
20:39:52.692849 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 264181, win 24205, options [nop,nop,TS val 807806 ecr 1027883,mptcp dss ack 1970020810], length 0
20:39:52.817951 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 274177, win 23937, options [nop,nop,TS val 808593 ecr 1028238,mptcp dss ack 1970042230], length 0
20:39:52.818293 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 274177, win 23937, options [nop,nop,TS val 808593 ecr 1028238,mptcp dss ack 1970042230], length 0
20:39:52.873873 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 265609, win 24205, options [nop,nop,TS val 807952 ecr 1027883,mptcp dss ack 1970020810], length 0
20:39:52.948470 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 268465, win 24205, options [nop,nop,TS val 808248 ecr 1028115,mptcp dss ack 1970020810], length 0
20:39:53.019106 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 277033, win 24239, options [nop,nop,TS val 808794 ecr 1028662,mptcp dss ack 1970093638], length 0
20:39:53.019422 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 277033, win 24239, options [nop,nop,TS val 808794 ecr 1028662,mptcp dss ack 1970093638], length 0
20:39:53.339734 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 274177, win 23937, options [nop,nop,TS val 808593 ecr 1028238,mptcp dss ack 1970042230], length 0
20:39:53.355066 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 279889, win 24239, options [nop,nop,TS val 809128 ecr 1028923,mptcp dss ack 1970093638], length 0
20:39:53.355352 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 279889, win 24239, options [nop,nop,TS val 809128 ecr 1028923,mptcp dss ack 1970093638], length 0
20:39:53.469170 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 277033, win 24239, options [nop,nop,TS val 808794 ecr 1028662,mptcp dss ack 1970093638], length 0
20:39:53.613504 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 279889, win 24239, options [nop,nop,TS val 809128 ecr 1028923,mptcp dss ack 1970093638], length 0
20:39:53.703393 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 284173, win 24239, options [nop,nop,TS val 809464 ecr 1029070,mptcp dss ack 1970093638], length 0
20:39:53.703680 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 284173, win 24239, options [nop,nop,TS val 809464 ecr 1029070,mptcp dss ack 1970093638], length 0
20:39:53.721945 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 284173, win 24239, options [nop,nop,TS val 809464 ecr 1029070,mptcp dss ack 1970093638], length 0
20:39:54.080764 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 289885, win 24239, options [nop,nop,TS val 809856 ecr 1029483,mptcp dss ack 1970093638], length 0
20:39:54.081089 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 289885, win 24239, options [nop,nop,TS val 809856 ecr 1029483,mptcp dss ack 1970093638], length 0
20:39:54.094714 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 289885, win 24239, options [nop,nop,TS val 809856 ecr 1029483,mptcp dss ack 1970093638], length 0
20:39:54.193907 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 292741, win 24473, options [nop,nop,TS val 809959 ecr 1029874,mptcp dss ack 1970177890], length 0
20:39:54.194205 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 292741, win 24473, options [nop,nop,TS val 809959 ecr 1029874,mptcp dss ack 1970177890], length 0
20:39:54.281544 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 292741, win 24473, options [nop,nop,TS val 809959 ecr 1029874,mptcp dss ack 1970177890], length 0
20:39:54.608012 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 297025, win 24473, options [nop,nop,TS val 810384 ecr 1029874,mptcp dss ack 1970177890], length 0
20:39:54.608308 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 297025, win 24473, options [nop,nop,TS val 810384 ecr 1029874,mptcp dss ack 1970177890], length 0
20:39:54.620566 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 297025, win 24473, options [nop,nop,TS val 810384 ecr 1029874,mptcp dss ack 1970177890], length 0
20:39:54.917650 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 301309, win 24473, options [nop,nop,TS val 810693 ecr 1030148,mptcp dss ack 1970177890], length 0
20:39:54.917956 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 301309, win 24473, options [nop,nop,TS val 810693 ecr 1030148,mptcp dss ack 1970177890], length 0
20:39:54.952131 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 301309, win 24473, options [nop,nop,TS val 810693 ecr 1030148,mptcp dss ack 1970177890], length 0
20:39:55.334950 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 305593, win 24473, options [nop,nop,TS val 811110 ecr 1030248,mptcp dss ack 1970177890], length 0
20:39:55.335261 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 305593, win 24473, options [nop,nop,TS val 811110 ecr 1030248,mptcp dss ack 1970177890], length 0
20:39:55.355004 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 305593, win 24473, options [nop,nop,TS val 811110 ecr 1030248,mptcp dss ack 1970177890], length 0
20:39:55.594387 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811370 ecr 1030629,nop,nop,sack 1 {308449:309877},mptcp dss ack 1970177890], length 0
20:39:55.594669 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811370 ecr 1030629,nop,nop,sack 1 {308449:309877},mptcp dss ack 1970177890], length 0
20:39:55.648749 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811370 ecr 1030629,nop,nop,sack 1 {308449:309877},mptcp dss ack 1970177890], length 0
20:39:55.740838 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811516 ecr 1030629,nop,nop,sack 2 {311305:312733}{308449:309877},mptcp dss ack 1970177890], length 0
20:39:55.741177 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811516 ecr 1030629,nop,nop,sack 2 {311305:312733}{308449:309877},mptcp dss ack 1970177890], length 0
20:39:55.791566 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811516 ecr 1030629,nop,nop,sack 2 {311305:312733}{308449:309877},mptcp dss ack 1970177890], length 0
20:39:55.869836 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811645 ecr 1030629,nop,nop,sack 2 {311305:314161}{308449:309877},mptcp dss ack 1970177890], length 0
20:39:55.870162 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811645 ecr 1030629,nop,nop,sack 2 {311305:314161}{308449:309877},mptcp dss ack 1970177890], length 0
20:39:56.007584 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811783 ecr 1030629,nop,nop,sack 2 {315589:317017}{311305:314161},mptcp dss ack 1970177890], length 0
20:39:56.007859 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811783 ecr 1030629,nop,nop,sack 2 {315589:317017}{311305:314161},mptcp dss ack 1970177890], length 0
20:39:56.040263 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811783 ecr 1030629,nop,nop,sack 2 {315589:317017}{311305:314161},mptcp dss ack 1970177890], length 0
20:39:56.111808 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811887 ecr 1030629,nop,nop,sack 2 {315589:318445}{311305:314161},mptcp dss ack 1970177890], length 0
20:39:56.112011 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811887 ecr 1030629,nop,nop,sack 2 {315589:318445}{311305:314161},mptcp dss ack 1970177890], length 0
20:39:56.125557 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 811887 ecr 1030629,nop,nop,sack 2 {315589:318445}{311305:314161},mptcp dss ack 1970177890], length 0
20:39:56.265928 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 812041 ecr 1030629,nop,nop,sack 2 {319873:321301}{315589:318445},mptcp dss ack 1970177890], length 0
20:39:56.266251 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 812041 ecr 1030629,nop,nop,sack 2 {319873:321301}{315589:318445},mptcp dss ack 1970177890], length 0
20:39:56.284006 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 812041 ecr 1030629,nop,nop,sack 2 {319873:321301}{315589:318445},mptcp dss ack 1970177890], length 0
20:39:56.380069 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 307021, win 24473, options [nop,nop,TS val 812155 ecr 1030629,nop,nop,sack 2 {319873:322729}{315589:318445},mptcp dss ack 1970177890], length 0
